experiment_id,experiment_name,type,raw_features,n_channels,n_params,seed,best_epoch,train_time_sec,auroc,auprc,precision,recall,specificity,f1,brier,threshold,delta_auroc_vs_vitals,delta_auprc_vs_vitals,delta_auroc_vs_full,delta_auprc_vs_full,n_train_patients,n_val_patients,n_test_patients,train_prevalence,test_prevalence
I,all_minus_creatinine,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; wbc; platelets; bilirubin,19,68289,123,4,346.5,0.8089647964144009,0.14055242660609224,0.1824966078697422,0.3032694475760992,0.969574164552008,0.22786954680220245,0.1359288990497589,0.8499999999999999,0.013217742998725135,0.026290634220765025,-0.003580202664214438,0.0032453393082181314,9839,2109,2109,0.02167,0.02191
F,vitals_all_labs,full-baseline,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; wbc; platelets; bilirubin,22,68481,123,6,416.8,0.8125449990786153,0.1373070872978741,0.153219837157661,0.3500563697857948,0.9566715903495815,0.21314570104685088,0.11623340100049973,0.8299999999999998,0.016797945662939573,0.023045294912546893,0.0,0.0,9839,2109,2109,0.02167,0.02191
C,vitals_ph,add-one-in,heart_rate; spo2; respiratory_rate; temperature; ph,7,67521,123,5,484.6,0.8109765776989203,0.13654777373581986,0.168004757656854,0.318489289740699,0.9646757312931611,0.21997274673934203,0.15427111089229584,0.8599999999999999,0.015229524283244533,0.022285981350492645,-0.0015684213796950397,-0.0007593135620542479,9839,2109,2109,0.02167,0.02191
A,vitals_only,baseline,heart_rate; spo2; respiratory_rate; temperature,4,67329,123,7,398.5,0.7957470534156758,0.11426179238532722,0.15331260464003826,0.3613303269447576,0.9553081089270159,0.21528127623845508,0.12812085449695587,0.8399999999999999,0.0,0.0,-0.016797945662939573,-0.023045294912546893,9839,2109,2109,0.02167,0.02191
