experiment_id,experiment_name,type,raw_features,n_channels,n_params,seed,best_epoch,train_time_sec,auroc,auprc,precision,recall,specificity,f1,brier,threshold,delta_auroc_vs_vitals,delta_auprc_vs_vitals,delta_auroc_vs_full,delta_auprc_vs_full,n_train_patients,n_val_patients,n_test_patients,train_prevalence,test_prevalence
I,all_minus_creatinine,leave-one-out,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; wbc; platelets; bilirubin,19,68289,456,10,534.1,0.8173547347367786,0.13982867109301708,0.1813953488372093,0.28579481397970685,0.9711143935663876,0.22193040052527904,0.12524773180484772,0.8799999999999999,0.020711332767222812,0.03221270284534787,0.01359942698937433,0.019510059961355464,9839,2109,2109,0.02167,0.02191
C,vitals_ph,add-one-in,heart_rate; spo2; respiratory_rate; temperature; ph,7,67521,456,10,610.3,0.8071422025183814,0.12516083978996198,0.16320727893090703,0.32356257046223225,0.962845131235087,0.21697221697221697,0.14327354729175568,0.8749999999999999,0.010498800548825682,0.01754487154229277,0.0033868947709772,0.004842228658300363,9839,2109,2109,0.02167,0.02191
F,vitals_all_labs,full-baseline,heart_rate; spo2; respiratory_rate; temperature; lactate; ph; creatinine; wbc; platelets; bilirubin,22,68481,456,5,386.8,0.8037553077474042,0.12031861113166162,0.15420081967213115,0.33934611048478014,0.958312817987855,0.2120464952448045,0.15901286900043488,0.8799999999999999,0.007111905777848482,0.012702642883992407,0.0,0.0,9839,2109,2109,0.02167,0.02191
A,vitals_only,baseline,heart_rate; spo2; respiratory_rate; temperature,4,67329,456,6,418.7,0.7966434019695557,0.10761596824766921,0.15851775604734947,0.34723788049605414,0.9587168124834299,0.2176678445229682,0.12438864260911942,0.8799999999999999,0.0,0.0,-0.007111905777848482,-0.012702642883992407,9839,2109,2109,0.02167,0.02191
